Gene ID, Cluster # 
At1g01120, 4.4 
At1g04780, 4.4 
At1g04810, 4.2 
At1g05010, 2 
At1g05680, 4.4 
At1g07970, 4.4 
At1g08250, 2 
At1g08720, 4.4 
At1g09100, 4.4 
At1g09790, 4.4 
At1g09840, 4.4 
At1g10050, 4.2 
At1g11020, 4.4 
At1g11400, 3 
At1g11790, 4.4 
At1g14360, 4.2 
At1g15170, 4.4 
At1g15420, 3 
At1g15780, 4.2 
At1g16150, 4.4 
At1g16900, 4.4 
At1g17180, 4.4 
At1g17560, 3 
At1g17690, 3 
At1g18380, 4.4 
At1g18850, 2 
At1g19850, 4.4 
At1g19880, 4.4 
At1g20030, 2 
At1g20510, 4.4 
At1g23330, 4.4 
At1g25275, 2 
At1g25280, 4.2 
At1g25350, 4.2 
At1g25540, 4.4 
At1g26930, 4.4 
At1g27770, 3 
At1g28200, 4.4 
At1g30700, 3 
At1g31470, 4.4 
At1g31660, 4.4 
At1g32920, 4.4 
At1g34260, 4.4 
At1g34670, 4.4 
At1g42990, 4.4 
At1g45050, 4.4 
At1g48320, 4.4 
At1g48480, 4.4 
At1g48970, 2 
At1g49000, 4.4 
At1g49430, 4.3 
At1g49960, 4.3 
At1g50740, 4.4 
At1g51420, 4.4 
At1g52320, 4.2 
At1g53390, 3 
At1g53460, 4.4 
At1g55150, 3 
At1g55450, 4.3 
At1g55500, 4.4 
At1g56320, 4.4 
At1g59990, 4.4 
At1g60420, 4.2 
At1g60490, 4.4 
At1g60610, 4.4 
At1g60650, 4.4 
At1g60730, 4.3 
At1g61140, 4.2 
At1g62390, 4.4 
At1g63660, 3 
At1g63780, 3 
At1g64040, 3 
At1g66140, 4.4 
At1g67060, 4.4 
At1g68450, 4.3 
At1g68850, 4.3 
At1g69040, 4.4 
At1g69840, 4.4 
At1g70170, 2 
At1g70520, 4.4 
At1g70560, 4.4 
At1g71400, 4.4 
At1g71840, 4.4 
At1g74460, 4.4 
At1g74790, 4.2 
At1g75860, 4.4 
At1g77510, 4.4 
At1g77840, 4.4 
At1g78090, 3 
At1g79160, 4.3 
At1g79210, 3 
At1g79450, 4.4 
At2g01170, 4.2 
At2g02220, 4.4 
At2g02810, 4.4 
At2g03200, 4.4 
At2g03430, 4.4 
At2g05630, 4.4 
At2g11520, 4.4 
At2g14750, 4.4 
At2g15000, 4.2 
At2g16710, 4.4 
At2g16760, 4.4 
At2g16900, 4.4 
At2g17760, 2 
At2g18220, 4.4 
At2g20030, 4.4 
At2g20320, 4.4 
At2g20800, 4.4 
At2g20830, 4.4 
At2g20960, 4.4 
At2g22250, 4.4 
At2g22510, 4.2 
At2g23170, 4.3 
At2g23420, 4.4 
At2g23540, 4.4 
At2g24180, 2 
At2g24280, 4.4 
At2g24500, 3 
At2g25735, 4.4 
At2g26300, 4.4 
At2g26780, 4.2 
At2g28380, 4.2 
At2g28760, 4.4 
At2g29330, 4.4 
At2g29980, 4.4 
At2g30250, 4.4 
At2g30530, 4.2 
At2g31240, 4.4 
At2g33490, 4.4 
At2g34140, 3 
At2g35380, 4.4 
At2g35770, 4.4 
At2g35900, 4.4 
At2g35930, 4.4 
At2g36720, 2 
At2g36850, 4.4 
At2g36930, 4.4 
At2g38110, 4.4 
At2g38470, 4.3 
At2g38770, 4.4 
At2g39210, 4.4 
At2g39580, 4.4 
At2g40140, 4.4 
At2g40370, 4.3 
At2g40620, 4.4 
At2g41100, 4.4 
At2g41500, 4.4 
At2g41540, 4.4 
At2g41620, 4.2 
At2g41630, 4.2 
At2g41640, 2 
At2g42750, 4.4 
At2g42910, 4.2 
At2g43100, 4.4 
At2g43390, 2 
At2g43610, 4.4 
At2g43670, 4.4 
At2g44270, 4.4 
At2g44770, 4.4 
At2g45290, 4.4 
At2g45970, 4.3 
At2g47140, 4.2 
At2g47200, 4.4 
At3g03950, 4.4 
At3g04370, 4.4 
At3g04600, 4.4 
At3g04640, 4.4 
At3g06040, 4.2 
At3g06530, 3 
At3g07640, 4.4 
At3g07860, 4.3 
At3g08640, 4.4 
At3g08760, 4.4 
At3g09100, 4.4 
At3g09350, 4.4 
At3g09440, 3 
At3g09900, 4.4 
At3g10050, 3 
At3g10350, 2 
At3g10500, 4.4 
At3g10720, 4.4 
At3g10970, 4.4 
At3g11430, 4.4 
At3g11820, 4.4 
At3g13330, 4.4 
At3g15357, 3 
At3g17910, 4.4 
At3g18030, 4.4 
At3g18350, 4.4 
At3g18380, 2 
At3g18400, 4.3 
At3g18440, 4.2 
At3g18830, 4.4 
At3g18860, 4.4 
At3g19010, 4.4 
At3g19130, 3 
At3g19170, 2 
At3g19200, 4.3 
At3g20650, 4.4 
At3g22220, 4.4 
At3g23280, 4.4 
At3g23560, 4.2 
At3g24440, 4.4 
At3g24503, 4.4 
At3g25110, 4.4 
At3g25150, 3 
At3g25900, 4.4 
At3g26640, 4.4 
At3g26910, 4.4 
At3g27210, 4.4 
At3g27270, 4.4 
At3g27580, 4.4 
At3g28850, 4.4 
At3g44540, 4.3 
At3g44550, 4.3 
At3g45770, 4.4 
At3g46210, 2 
At3g48410, 4.4 
At3g48450, 4.4 
At3g48890, 4.4 
At3g50400, 4.4 
At3g52140, 4.4 
At3g53230, 4.4 
At3g53510, 4.4 
At3g54010, 4.4 
At3g54980, 4.4 
At3g55400, 4.4 
At3g55530, 4.4 
At3g55740, 2 
At3g55980, 4.4 
At3g56690, 4.4 
At3g57170, 4.4 
At3g57300, 4.4 
